e_true,Sigma_true
0.0,0.0
0.0,0.0
-1.6259078662532151e-06,-9.14268700918817e-05
-3.2518157325064302e-06,-0.0001813907724300186
-3.2518157325064302e-06,-0.00018139077243001873
-8.129571054478964e-06,-0.000572040554148581
-1.3007326376451497e-05,-0.0009559741042285306
-1.3007326376451497e-05,-0.0009559741042290959
-0.0001284614273801003,-15.171643388629493
-0.00024391552838374907,-37.998854338393556
-0.00024391552838374907,-37.99885433839355
-0.0003284903773265531,-54.55119186798428
-0.0004130652262693571,-72.00466874315848
-0.0004130652262693571,-72.00466874315849
-0.00046674514759039126,-79.20703640100933
-0.0005204250689114254,-88.43450619534843
-0.0005204250689114254,-88.43450619534849
-0.0005334392511172933,-92.91549145154704
-0.0005464534333231611,-97.1955313021345
-0.0005464534333231611,-97.19553130213455
-0.0005513338389824146,-97.63804850273971
-0.0005562142446416679,-98.12059341993341
-0.0005562142446416679,-98.12059341993344
-0.0005871245867640827,-101.52499951165098
-0.0006180349288864975,-106.31224246917003
-0.0006180349288864975,-106.31224246917003
-0.00014482799807921095,-33.089591544569586
0.0003283789327280756,68.16602751354864
0.0003283789327280756,68.16602751354864
0.001067376531924836,230.81134436632834
0.0018063741311215966,369.52536785235
0.0018063741311215966,369.52536785235
0.005019249585769008,340.13215250004095
0.00823212504041642,348.7645665326614
0.00823212504041642,348.76456653266143
0.01211460728556255,345.0171590488072
0.01599708953070868,372.1965244234161
0.01599708953070868,372.1965244234161
0.018084061856450315,377.42465631783296
0.02017103418219195,390.4045073909938
0.02017103418219195,390.4045073909941
0.018901046358835168,155.07722867434748
0.017631058535478382,-50.32004283301609
0.017631058535478382,-50.320042833015805
0.015522725346673922,-178.64846534524327
0.013414392157869461,-236.76762594556772
0.013414392157869461,-236.76762594556772
0.01053452423156922,-287.74765848998356
0.00765465630526898,-314.1214532256849
0.00765465630526898,-314.1214532256849
0.0046071542145797876,-342.4052477985408
0.0015596521238905947,-360.36749612932306
0.0015596521238905947,-360.36749612932306
-0.00124200461442348,-378.07003323112934
-0.004043661352737555,-391.50854203233945
-0.004043661352737555,-391.50854203233945
-0.006504979197777771,-403.7681969099303
-0.008966297042817987,-414.8392495311947
-0.008966297042817987,-414.8392495311947
-0.011443088403201306,-426.0210004818681
-0.013919879763584624,-436.6806674538751
-0.013919879763584624,-436.6806674538752
-0.01622677279464694,-446.1098057782641
-0.018533665825709256,-454.3359384589927
