e_true,Time[s],Sigma_true
1.0219288548508832e-05,0.100024320000557,0.0500881962511653
2.664522558291531e-05,2.2750617600004284,3.40572441318606
4.307116261732179e-05,4.4500992000003,6.733715878934246
0.00010353571680297595,5.70009600000049,19.13333811555561
0.0001640002709886301,6.95009280000068,31.67156053942657
0.00022445934351581165,8.200089600000414,44.1077526694407
0.0002849184160429932,9.45008640000015,56.98297828290391
0.0003452314026185094,10.700083200000325,69.08928844092499
0.0004055443891940256,11.9500800000005,81.57457691432168
0.000466116712105534,13.20007680000025,94.03369652931859
0.0005266890350170424,14.4500736,106.35189083215408
0.0005870746100577547,15.7000704000002,119.03627338844879
0.0006474601850984668,16.9500672000004,131.51711728537663
0.0007083331148500056,18.2000640000001,144.18996517140394
0.0007692060446015444,19.4500607999998,156.55088872052832
0.0008304483265960834,20.7000576,169.2619717285351
0.0008916906085906226,21.9500544000002,181.66651194894874
0.0009539305179035436,23.200051200000402,194.155878296436
0.0010161704272164645,24.4500480000006,206.5686152413587
0.0010769162052072538,25.70004480000035,218.54040896607086
0.001137661983198043,26.9500416000001,230.6992262779796
0.001137762509803269,28.200038400000302,230.4785374934678
0.001137863036408495,29.4500352000005,230.3330075182972
0.0012117386373777616,29.70003456000045,245.2166630871714
0.0012856142383470283,29.9500339200004,259.9748746453397
0.0013603423031647902,30.200033280000298,274.8710407820815
0.0014350703679825519,30.4500326400002,289.64040638362866
0.001509906402670228,30.70003200000015,304.16479936004805
0.001584742437357904,30.9500313600001,318.7369873963409
0.001639222392194233,31.1350272000004,327.6423029845633
0.001693702347030562,31.3200230400007,332.61921094668594
0.001769512547615494,31.57002240000065,321.5764899111657
0.001845322748200426,31.8200217600006,318.28805841530334
0.0019224437340590423,32.07002112000055,319.5428803526064
0.0019995647199176586,32.3200204800005,318.3580135859538
0.002072703397861278,32.570019840000455,317.59455995951373
0.0021458420758048978,32.8200192000004,318.2852086787074
0.0022213412287484247,33.07001856000035,317.2919925079895
0.002296840381691951,33.3200179200003,316.0978409492548
0.002370548545990856,33.57001728000025,316.0094501571941
0.002444256710289761,33.8200166400002,316.64918760159105
0.0025191850495637925,34.07001600000015,317.2774370503047
0.0025941133888378242,34.3200153600001,317.0717978182978
0.002669187927870239,34.570014720000046,317.11455901999625
0.002744262466902653,34.82001408,317.15895330823224
0.002819831606660734,35.070013439999954,317.7325332127979
0.0028954007464188146,35.3200127999999,318.7329994804856
0.0029698527502346464,35.5700121600003,316.4910053029591
0.0030443047540504786,35.8200115200007,316.1736793026723
0.003119054466779678,36.07001088000065,314.08893413967405
0.003193804179508877,36.3200102400006,314.96341434041915
0.0032683740159281435,36.570009600000546,315.6632216829461
0.0033429438523474094,36.8200089600005,316.19044346160445
0.0034176664905026044,37.0700083200004,316.4955315304021
0.0034923891286577995,37.3200076800003,316.9293425782086
0.0035667769833883844,37.57000704000025,316.34959311291675
0.0036411648381189697,37.8200064000002,315.57201949791227
0.0037159296794296347,38.07000576000015,316.0305137508201
0.0037906945207403,38.3200051200001,316.05008533572214
0.0038657408608654565,38.57000448000005,316.7136262771297
0.0039407872009906125,38.82000384,317.0137334909895
0.0040162665609975185,39.070003199999945,316.72524840612033
0.004091745921004424,39.3200025599999,317.9461016848278
0.004165673740355267,39.5700019200003,317.82718735675974
0.0042396015597061095,39.8200012800007,318.2849072326081
0.0043139823043279605,40.0700620800003,318.7968297734078
0.004388363048949811,40.3201228799999,319.0552081489977
0.004463182608521776,40.5701222400003,319.66662983057
0.00453800216809374,40.8201216000007,320.13680409333455
0.004612614711568372,41.07012096000065,320.1418103709185
0.0046872272550430045,41.3201203200006,320.3913617741032
0.004762075666029125,41.570119680000545,320.5438865028326
0.004836924077015245,41.8201190400005,320.79379761495983
0.004911660507561161,42.07011840000045,320.9812923387915
0.004986396938107076,42.3201177600004,321.32990650219847
0.005060483109806984,42.57011712000035,321.55359709815895
0.005134569281506892,42.8201164800003,321.52937467307646
0.005210255974704529,43.0701158400002,321.4731579769858
0.005285942667902168,43.3201152000001,321.20555848877586
0.005358383352050411,43.57011456000005,320.11482046363295
0.005430824036198653,43.82011392,317.8817314623146
0.005507335959206862,44.070113279999944,318.5815757871391
0.00558384788221507,44.3201126399999,316.65994771862944
0.005658107185908903,44.57011199999985,318.5327651925369
0.005732366489602735,44.8201113599998,319.639089437987
0.0058065765742506955,45.0701107200002,319.6949591245967
0.005880786658898656,45.3201100800006,319.51458157693
0.005955158378469612,45.57010944000055,319.6728061508977
0.006029530098040567,45.8201088000005,319.2586485120375
0.006104326939336887,46.070108160000444,319.887859964021
0.006179123780633207,46.3201075200004,319.97830192073116
0.006253469152802403,46.57010688000035,320.00696723458725
0.0063278145249715985,46.8201062400003,319.9126966641286
0.006402824089101781,47.07010560000025,320.0746031109585
0.006477833653231963,47.3201049600002,320.10462846561614
0.006552055978958138,47.570104320000155,320.0497223134909
0.006626278304684312,47.8201036800001,319.8391253613717
0.006698134933358788,48.07010304000005,319.01252967423454
0.006769991562033265,48.3201024,317.58046638859213
0.006847130380282276,48.57010175999995,319.35032293643275
0.006924269198531287,48.8201011199999,319.71324266831346
0.006998554804731664,49.0701004800003,320.0632825610155
0.00707284041093204,49.3200998400007,320.4182635360658
0.0071476940258586395,49.570099200000655,320.3957629075687
0.007222547640785238,49.8200985600006,320.15926356161333
0.007296381671618481,50.07009792000055,319.22198372558796
0.007370215702451723,50.3200972800005,318.7196354412431
0.007444640812765396,50.57009664000045,319.3387117289246
0.00751906592307907,50.8200960000004,319.60409099267935
